ts,profil,modell,gpu_w,gpu_c,gpu_busy,akku_pct,akku_status,cpu_mhz
1787393687,balanced,,9.0,39,1,96,Charging,1984
1787393690,balanced,,10.0,39,1,96,Charging,2000
1787393693,balanced,gemma-4-26B_q4_0-it,13.1,40,2,96,Charging,2952
1787393696,balanced,gemma-4-26B_q4_0-it,27.0,43,24,96,Charging,2000
1787393699,balanced,gemma-4-26B_q4_0-it,60.1,57,90,96,Charging,2000
1787393702,balanced,gemma-4-26B_q4_0-it,64.1,60,98,96,Charging,1481
1787393705,balanced,gemma-4-26B_q4_0-it,47.0,52,68,96,Charging,2000
1787393708,balanced,gemma-4-26B_q4_0-it,12.0,48,5,96,Charging,2000
1787393711,balanced,gemma-4-26B_q4_0-it,10.0,46,1,96,Charging,2000
1787393714,balanced,gemma-4-31B_q4_0-it,15.0,46,3,96,Charging,1478
1787393717,balanced,gemma-4-31B_q4_0-it,27.1,48,24,96,Charging,2000
1787393720,balanced,gemma-4-31B_q4_0-it,59.1,60,89,96,Charging,2000
1787393723,balanced,gemma-4-31B_q4_0-it,64.1,63,99,96,Charging,2000
1787393726,balanced,gemma-4-31B_q4_0-it,59.1,63,100,96,Charging,2000
1787393729,balanced,gemma-4-31B_q4_0-it,55.0,62,98,96,Charging,1591
1787393732,balanced,gemma-4-31B_q4_0-it,55.0,62,99,96,Charging,1590
1787393736,balanced,gemma-4-31B_q4_0-it,55.0,63,99,96,Charging,1594
1787393739,balanced,gemma-4-31B_q4_0-it,54.1,63,99,96,Charging,1595
1787393742,balanced,gemma-4-31B_q4_0-it,54.1,64,99,96,Charging,1598
1787393745,balanced,gemma-4-31B_q4_0-it,54.1,64,99,96,Charging,1602
1787393748,balanced,gemma-4-31B_q4_0-it,55.0,64,99,96,Charging,2000
1787393751,balanced,gemma-4-31B_q4_0-it,54.1,65,99,96,Charging,1602
1787393754,balanced,gemma-4-31B_q4_0-it,54.1,65,99,96,Charging,1609
